FlowID,FirstTxTime,FirstRxTime,LastTxTime,LastRxTime,TxBytes,RxBytes,TxPackets,RxPackets,LostPackets,AvgDelay_ms,AvgJitter_ms,MinDelay_ms,MaxDelay_ms,Throughput_Mbps,TimesForwarded
1,2.002400,2.047750,9.999200,9.208310,4092924,428572,3333,349,0,747.12,5.85,44.10,1282.31,0.48,0
2,2.502400,8.933340,9.997600,8.953730,3836272,2456,3124,2,0,1320.73,8.99,1311.74,1329.73,0.96,0
3,3.000000,0.000000,6.000000,0.000000,112,0,2,0,0,0.00,0.00,9223370000000.00,0.00,0.00,0
4,3.500000,0.000000,6.500000,0.000000,112,0,2,0,0,0.00,0.00,9223370000000.00,0.00,0.00,0
5,5.100000,7.100880,9.100000,7.101250,384,256,3,2,0,1001.07,999.81,1.25,2000.88,5.54,0
6,5.200000,8.226130,9.200000,8.226370,384,256,3,2,0,2026.25,999.88,1026.37,3026.13,8.53,0
7,5.300000,5.316900,9.300000,7.301990,384,256,3,2,0,9.44,7.45,1.99,16.90,0.00,0
8,5.400000,5.422000,9.400000,9.810920,384,384,3,3,0,145.12,142.68,2.43,410.92,0.00,0
9,5.500000,5.524880,9.500000,9.813080,384,256,3,2,0,168.98,144.10,24.88,313.08,0.00,0
10,5.600000,5.628660,9.600000,9.814170,384,256,3,2,0,121.41,92.75,28.66,214.17,0.00,0
11,5.700000,5.733550,9.700000,9.909430,384,384,3,3,0,392.21,541.45,33.55,933.67,0.00,0
12,5.800000,5.837260,9.800000,8.633960,384,256,3,2,0,435.61,398.35,37.26,833.96,0.00,0
3,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0
1,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0
5,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0
6,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0
7,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0
8,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0
9,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0
10,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0
11,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0
12,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0
4,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0
2,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0
